Role,Experience,skills,Job Description
Security Operations Center (SOC) Analyst,0 to 12 Years,"SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage","SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets."
Front-End Developer,2 to 10 Years,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.
Tax Planner,4 to 8 Years,Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance,"Assist clients with tax planning, minimize tax liabilities, and stay up-to-date with tax laws and regulations."
Event Coordinator,3 to 8 Years,Event planning Vendor coordination Budget management Marketing and promotion Logistics,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships."
Clinical Psychologist,1 to 14 Years,Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being."
Electrical Engineer,1 to 13 Years,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries."
Lighting Designer,0 to 8 Years,Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions."
Business Intelligence Analyst,3 to 10 Years,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data."
Content Writer,0 to 12 Years,Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences."
Personal Tax Consultant,4 to 12 Years,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency,A Personal Tax Consultant provides tax planning and preparation services to individuals. They help clients optimize their tax situations while ensuring compliance with tax laws.
Automation Tester,5 to 10 Years,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.
Sales Account Executive,5 to 14 Years,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets."
IT Support Specialist,2 to 13 Years,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure."
Database Developer,1 to 15 Years,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge","A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity."
Social Science Researcher,1 to 15 Years,"Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy","A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge."
Record Keeper,3 to 9 Years,Records management Data entry and retrieval Attention to detail,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed."
Staff Nurse,5 to 14 Years,Nursing care Patient assessment Medical knowledge,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings."
International Tax Consultant,3 to 8 Years,International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures."
Risk Analyst,4 to 8 Years,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.
Speech Pathologist,5 to 10 Years,Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills,"Speech Pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. They develop personalized treatment plans to improve communication."
Regional Sales Director,4 to 8 Years,Sales strategy development Territory management Sales team leadership,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams."
Mental Health Counselor,4 to 10 Years,Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification,"Offer counseling and therapy services to individuals, couples, or groups, helping them address mental health concerns."
Urban Planner,0 to 13 Years,Urban design and planning Zoning regulations GIS and mapping tools,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development."
Strategic Account Manager,5 to 15 Years,Account management Client relationship Sales strategy Business development Negotiation skills,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion."
User Researcher,4 to 14 Years,User research methods Usability testing Data analysis and interpretation,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development."
Financial Analyst,2 to 10 Years,Financial analysis Data analysis Financial modeling,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning."
Desktop Support Technician,2 to 9 Years,"Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills","Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users."
Art Curator,3 to 12 Years,Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art."
Mobile App Developer,0 to 11 Years,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting",Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.
Agile Project Manager,1 to 11 Years,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)","The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members."
Service Quality Assurance Manager,0 to 8 Years,Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery."
Procurement Analyst,4 to 13 Years,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process."
Family Counselor,3 to 10 Years,Family counseling Marriage and family therapy Conflict resolution skills,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics."
Logistics Analyst,1 to 15 Years,Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance."
Data Architect,0 to 9 Years,Data architecture design Database management systems Data modeling,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements."
Documentation Specialist,1 to 10 Years,Document management Recordkeeping Attention to detail Data entry Organizational skills,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation."
Financial Accountant,1 to 8 Years,"Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge","Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization."
Inside Sales Representative,4 to 8 Years,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building","Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets."
Inventory Manager,4 to 11 Years,Inventory control Demand forecasting Supply chain management Data analysis Warehouse management,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability."
Automation Test Engineer,1 to 14 Years,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.
Sustainability Consultant,1 to 11 Years,Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies."
Electronics Hardware Engineer,5 to 13 Years,Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance."
Systems Integration Specialist,0 to 9 Years,Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting,"The role of a Systems Integration Specialist involves integrating various software and hardware components to create cohesive systems. You will design and implement solutions that enable different systems to communicate and work together seamlessly. Your responsibilities also include troubleshooting integration issues, ensuring data consistency, and collaborating with cross-functional teams."
Brand Strategist,0 to 13 Years,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.
Acute Care Nurse Practitioner,2 to 14 Years,Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings."
Trial Attorney,2 to 13 Years,Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation."
Network Security Engineer,2 to 9 Years,Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data."
Research Psychologist,2 to 12 Years,Research methodology Data analysis Psychological studies Writing research reports Critical thinking,"Research Psychologists conduct psychological research to advance the fields understanding. They design studies, collect data, and analyze results to inform scientific knowledge."
Art Education Coordinator,2 to 12 Years,Art education curriculum Program development Teacher training Communication skills Artistic expertise,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities."
Talent Acquisition Manager,1 to 8 Years,Talent sourcing Interviewing Onboarding Recruitment strategies HR software,"Talent Acquisition Managers oversee the recruitment and hiring process. They develop recruitment strategies, source candidates, conduct interviews, and collaborate with hiring managers to attract and hire qualified talent to meet the organizations staffing needs."
Inventory Control Specialist,1 to 15 Years,Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs."
Corporate Attorney,4 to 13 Years,Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business."
SQL Database Developer,4 to 14 Years,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security."
Procurement Manager,1 to 9 Years,Procurement strategies Supplier management Negotiation Cost analysis Supply chain management,"Procurement Managers oversee procurement processes, managing vendor relationships, negotiating contracts, and ensuring cost-effective purchasing of goods and services."
IT Analyst,5 to 15 Years,IT systems analysis Troubleshooting IT support and documentation,"An IT Analyst assesses and analyzes IT systems, identifying areas for improvement, implementing technology solutions, and providing technical support to users and departments."
Key Account Executive,0 to 14 Years,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge,A Key Account Executive manages strategic accounts for a company. They build strong client relationships and work to expand business opportunities within these key accounts.
Creative Copywriter,0 to 12 Years,Creative writing Copywriting Advertising copy Content creation Brand storytelling Marketing campaigns Proofreading and editing,"Creative Copywriters craft engaging and persuasive copy for marketing materials, advertisements, and content marketing campaigns. They use their writing skills to captivate audiences and convey brand messages effectively."
SEO Specialist,1 to 8 Years,"Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings."
Account Executive,1 to 10 Years,Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting,"Account Executives manage and grow relationships with existing clients or customers. They understand client needs, propose solutions, negotiate contracts, and ensure customer satisfaction, often working closely with sales and customer support teams."
Construction Project Manager,4 to 8 Years,Construction management Budgeting Contract negotiation Safety regulations,"The Construction Project Manager oversees and manages construction projects, ensuring they are completed on time and within budget. They coordinate with contractors, architects, and other stakeholders to ensure successful project delivery."
Instructional Designer,5 to 15 Years,Instructional design eLearning tools Curriculum development Multimedia design Learning theory knowledge,Instructional Designers develop educational materials and curricula. They design engaging and effective learning experiences for students or employees.
Content Strategist,4 to 15 Years,Content strategy Content planning SEO optimization Content marketing Analytics,"Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth."
Training Coordinator,2 to 14 Years,Training program coordination Training material development Learning management systems,"Training Coordinators design and implement employee training programs. They assess training needs, develop training materials, and facilitate training sessions to enhance employees skills and knowledge."
Recruitment Coordinator,3 to 9 Years,Recruitment process Candidate screening Applicant tracking systems Communication,"Recruitment Coordinators support the hiring process by scheduling interviews, screening candidates, and assisting with onboarding. They ensure a smooth recruitment process and maintain candidate records."
Strategic Partnerships Manager,3 to 13 Years,Partnership development Negotiation and collaboration Business development,"A Strategic Partnerships Manager identifies and develops strategic partnerships and alliances that benefit the organization, fostering collaborations and driving mutual success."
Java Backend Developer,0 to 12 Years,"Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)","Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality."
Sales Team Leader,4 to 8 Years,Sales leadership Team management Sales strategy and planning,"Lead and motivate sales teams, set sales targets, and develop sales strategies to meet goals."
Pediatric Speech Therapist,2 to 12 Years,Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills,Pediatric Speech Therapists provide speech therapy to children with speech and language disorders. They assess and treat communication difficulties to improve language skills.
Big Data Engineer,2 to 12 Years,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions."
NoSQL Database Engineer,2 to 12 Years,"NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems","NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency."
Demand Planner,5 to 10 Years,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.
Wedding Designer,4 to 14 Years,Wedding design concepts Decor selection and arrangement Creative flair,"A Wedding Designer specializes in creating visually appealing wedding designs and décor, transforming wedding venues into beautiful and memorable spaces."
Event Planner,0 to 13 Years,Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome."
Portfolio Manager,2 to 13 Years,Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly."
Geriatric Nurse Practitioner,0 to 10 Years,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.
JavaScript Developer,2 to 10 Years,"JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting","JavaScript Developers write code to create interactive and dynamic web applications. They use JavaScript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design."
Account Manager,4 to 12 Years,Account management Customer relationship management Sales and negotiation Business development Client needs analysis,"An Account Manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth."
Purchasing Coordinator,0 to 12 Years,Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations,"Purchasing Coordinators manage procurement processes. They source and purchase goods and services, negotiate with suppliers, and ensure cost-effective and timely acquisitions."
Transportation Planner,5 to 10 Years,Transportation planning Traffic engineering GIS proficiency Public transportation Project management,"Transportation Planners design and manage transportation systems. They optimize traffic flow, plan public transit routes, and enhance overall transportation efficiency."
Adult Speech Therapist,0 to 9 Years,Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills,Adult Speech Therapists work with adults to address speech and language disorders. They provide therapy and support to improve communication and enhance quality of life.
Benefits Coordinator,4 to 11 Years,Employee benefits administration Benefits compliance HRIS Benefits communication,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies."
Interior Designer,3 to 15 Years,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses."
Investment Analyst,4 to 14 Years,Financial analysis Investment evaluation Portfolio management Data analysis,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management."
Email Campaign Manager,0 to 10 Years,"Email marketing strategies Email marketing platforms (e.g., MailChimp, HubSpot) Audience segmentation A/B testing Campaign analytics Copywriting HTML/CSS for email Marketing automation Communication skills Data analysis Attention to detail","Plan, execute, and analyze email marketing campaigns to engage subscribers, increase conversions, and build brand awareness."
Sustainability Specialist,2 to 10 Years,Sustainability practices Environmental management systems Green certifications,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency."
Server Developer,1 to 15 Years,"Server-side programming languages (e.g., Java, Python) Database management API development","A Server Developer specializes in developing and maintaining server-side applications and systems, ensuring efficient data processing and server functionality."
Systems Administrator,3 to 8 Years,"System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge","Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems."
Design Engineer,3 to 12 Years,Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market."
Market Research Coordinator,2 to 10 Years,Market research coordination Survey design and administration Data analysis,"A Market Research Coordinator supports market research initiatives by organizing and managing research projects, data collection, and analysis efforts."
Call Center Agent,0 to 14 Years,Customer service Call center operations Problem-solving skills,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone."
Customer Success Manager,5 to 15 Years,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty."
Environmental Designer,2 to 8 Years,Environmental design principles Sustainability concepts CAD and design software,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability."
IT Business Analyst,1 to 8 Years,Business process analysis Requirement gathering Data analysis Communication skills,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals."
Social Media Analyst,4 to 8 Years,"Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification","Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making."
